City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
46,Arraial Do Cabo,BR,78.66,broken clouds,-22.9661,-42.0278,Pousada Porto Praia
47,Albany,US,53.58,scattered clouds,42.6001,-73.9662,
48,Stornoway,GB,48.16,broken clouds,58.2093,-6.3865,Caladh Inn
51,Kruisfontein,ZA,60.89,clear sky,-34.0033,24.7314,Oyster Bay House Rental
52,Knysna,ZA,60.84,clear sky,-34.0363,23.0471,Protea Hotel by Marriott Knysna Quays
53,Kavieng,PG,81.07,light rain,-2.5744,150.7967,Nusa Island Retreat
54,Punta Arenas,CL,60.82,broken clouds,-53.15,-70.9167,Hotel Hain
56,Aguilas,ES,58.33,overcast clouds,37.4063,-1.5829,Hotel Carlos III
58,Cape Town,ZA,72.01,clear sky,-33.9258,18.4232,Southern Sun Waterfront Cape Town
59,Kalmunai,LK,75.9,overcast clouds,7.4167,81.8167,VS Villa
61,Lubango,AO,60.13,clear sky,-14.9172,13.4925,Hotel Serra da Chela
63,Lafia,NG,81.77,broken clouds,8.4833,8.5167,Low Cost Housing Estate
65,Avarua,CK,80.65,few clouds,-21.2078,-159.775,Paradise Inn
66,Lompoc,US,63.41,clear sky,34.6391,-120.4579,"Holiday Inn Express Lompoc, an IHG Hotel"
67,Bathsheba,BB,83.01,few clouds,13.2167,-59.5167,Atlantis Hotel
70,Bredasdorp,ZA,61.29,clear sky,-34.5322,20.0403,Bredasdorp Country Manor
71,Chuy,UY,71.73,clear sky,-33.6971,-53.4616,Nuevo Hotel Plaza
72,Abu Dhabi,AE,71.96,clear sky,24.4667,54.3667,Ramee Garden Hotel Apartments
73,Greece,US,47.14,few clouds,43.2098,-77.6931,"Homewood Suites by Hilton Rochester/Greece, NY"
74,Ribeira Grande,PT,59.4,scattered clouds,38.5167,-28.7,Quinta da Meia Eira
75,Hilo,US,79.29,clear sky,19.7297,-155.09,Hilo Hawaiian Hotel
78,Garissa,KE,84.97,overcast clouds,-0.4536,39.6401,Sharif Plaza Hotel
80,Natitingou,BJ,77.23,clear sky,10.3042,1.3796,Auberge Centrale
82,Kaitangata,NZ,53.92,few clouds,-46.2817,169.8464,Kaitangata Motor Camp
86,Mataura,NZ,53.47,light rain,-46.1927,168.8643,Ellie's Villa
87,Atuona,PF,77.65,clear sky,-9.8,-139.0333,Villa Enata
88,Karwar,IN,74.23,scattered clouds,14.8,74.1333,Netalco Connects
90,Banyo,CM,73.76,overcast clouds,6.75,11.8167,Motel JOMBA
91,Sola,VU,81.37,overcast clouds,-13.8833,167.55,Leumerus Bungalows
92,Pacific Grove,US,55.42,clear sky,36.6177,-121.9166,Lovers Point Inn
93,Cairns,AU,78.75,broken clouds,-16.9167,145.7667,Mantra Trilogy Cairns
94,Alta Floresta,BR,85.82,light rain,-9.8756,-56.0861,Floresta Amazonica Hotel
96,East London,ZA,63.54,light rain,-33.0153,27.9116,Tu Casa
97,Tandil,AR,86.31,overcast clouds,-37.3217,-59.1332,HOSTAL DE LA SIERRA TANDIL
99,Jatai,BR,78.93,overcast clouds,-17.8814,-51.7144,La Vitre Hotel
100,Thinadhoo,MV,81.99,broken clouds,0.5333,72.9333,
102,Fayaoue,NC,78.3,overcast clouds,-20.65,166.5333,Chez Dydyce Guesthouse
105,Ternate,ID,80.78,overcast clouds,0.8,127.4,Sahid Bela Ternate Hotel
106,Lorengau,PG,80.29,overcast clouds,-2.0226,147.2712,Lorengau Harbourside Hotel
109,Sao Felix Do Xingu,BR,84.61,overcast clouds,-6.6447,-51.995,Rio Xingu Camping
110,Te Anau,NZ,50.99,broken clouds,-45.4167,167.7167,Kingsgate Hotel Te Anau
112,Fortuna,US,48.92,clear sky,40.5982,-124.1573,Super 8 by Wyndham Fortuna
115,Georgetown,MY,78.89,scattered clouds,5.4112,100.3354,Cititel Penang
119,Broken Hill,AU,76.71,broken clouds,-31.95,141.4333,Royal Exchange Hotel
120,Havelock,US,73.94,scattered clouds,34.8791,-76.9013,Sherwood Motel
122,Airai,TL,60.93,overcast clouds,-8.9266,125.4092,Juvinal Martin
125,Nkayi,CG,72.37,overcast clouds,-4.1841,13.2884,Résidence privée du Maire NKAYI
126,Hithadhoo,MV,82.2,scattered clouds,-0.6,73.0833,Scoop Guest House
127,Tadine,NC,73.72,scattered clouds,-21.55,167.8833,
129,Minas,UY,75.67,scattered clouds,-34.3759,-55.2377,Hotel Minas
130,Namibe,AO,68.32,clear sky,-15.1961,12.1522,Hotel Chik Chik Namibe
131,Urucara,BR,84.31,overcast clouds,-2.5364,-57.76,Pousada Maria Bonita
132,Barra Patuca,HN,79.74,overcast clouds,15.8,-84.2833,
133,Mount Isa,AU,82.17,light rain,-20.7333,139.5,ibis Styles Mt Isa Verona
134,Awbari,LY,54.1,clear sky,26.5921,12.7805,فندق أوباري
136,North Bend,US,46.85,overcast clouds,43.4065,-124.2243,Red Lion Hotel Coos Bay
139,Marsabit,KE,69.98,overcast clouds,2.3284,37.9899,Chicho Hotel
141,Coihaique,CL,84.72,clear sky,-45.5752,-72.0662,Diego De Almagro Coyhaique
142,San Andres,CO,84.22,broken clouds,12.5847,-81.7006,Hotel Arena Blanca
143,Bethel,US,58.08,overcast clouds,41.3712,-73.414,Courtyard by Marriott Danbury
145,Souillac,MU,78.37,broken clouds,-20.5167,57.5167,Shanti Maurice Resort & Spa
146,Tura,IN,57.81,clear sky,25.5198,90.2201,Hotel RIKMAN Continental
147,Tautira,PF,84.22,broken clouds,-17.7333,-149.15,Pension Oaoa
148,Ancud,CL,63.43,overcast clouds,-41.8697,-73.8203,Hotel Arena Gruesa
151,Lebu,CL,61.54,clear sky,-37.6167,-73.65,Hostal Las Lilas
153,Penzance,GB,49.77,broken clouds,50.1186,-5.5371,Artist Residence Penzance
155,Saint-Raphael,HT,82.15,few clouds,19.4333,-72.2,Adouly Hôtel
156,Marsa Matruh,EG,58.26,few clouds,31.3525,27.2453,Beau Site
157,Northam,GB,48.02,clear sky,51.0333,-4.2167,Durrant House Hotel
159,Salalah,OM,73.0,scattered clouds,17.0151,54.0924,"HAMDAN PLAZA HOTEL SALALAH, an HTG Hotel"
160,Laguna,US,55.63,mist,38.421,-121.4238,"Holiday Inn Express & Suites Elk Grove Central - Hwy 99, an IHG Hotel"
161,Carnarvon,AU,69.87,clear sky,-24.8667,113.6333,Hospitality Carnarvon
162,Le Port,RE,75.2,few clouds,-20.9373,55.2919,KORBEY D'OR OUEST
164,Morros,BR,83.39,overcast clouds,-9.4467,-46.3003,
165,Chuncheng,CN,58.86,overcast clouds,22.1731,111.7886,7Days Inn Yangjiang Yangchun Bus Terminal
166,Majene,ID,78.85,overcast clouds,-3.5403,118.9707,Kost Putri RABBANI
168,Dera Bugti,PK,48.6,clear sky,29.0307,69.151,Nawab Bugti House
171,Bozoum,CF,74.53,clear sky,6.3193,16.3799,
173,Muros,ES,53.83,clear sky,42.7762,-9.0603,Apartment Av. Castelao
