City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
323,Ostrzeszow,PL,51.4264,17.9336,37.96,94,59,13.06,broken clouds
324,Millbrook,US,32.4799,-86.3619,71.67,84,90,3.44,overcast clouds
325,Labrea,BR,-7.2586,-64.7981,80.24,93,96,2.71,overcast clouds
326,Bowen,AU,-20.0167,148.2333,79.79,60,70,15.75,broken clouds
327,Ust-Koksa,RU,50.2696,85.6108,18.81,81,100,1.86,overcast clouds
328,Novo Aripuana,BR,-5.1206,-60.3797,81.07,89,100,1.39,overcast clouds
329,Paramonga,PE,-10.6667,-77.8333,72.1,75,59,12.64,broken clouds
330,Santa Rosalia,MX,27.3167,-112.2833,64.85,49,10,8.79,clear sky
331,Beringovskiy,RU,63.05,179.3167,-2.72,97,100,18.43,light snow
332,Hobyo,SO,5.3505,48.5268,78.64,82,95,19.93,overcast clouds
333,Westport,US,41.1415,-73.3579,60.76,23,1,1.01,clear sky
334,Sandy Bay,AU,-42.913,147.3532,62.49,56,100,1.99,overcast clouds
335,San Pedro,PH,14.35,121.0167,79.11,87,99,13.85,overcast clouds
336,Baykit,RU,61.67,96.37,-21.08,100,94,2.48,overcast clouds
337,Kerrobert,CA,51.9168,-109.1348,-6.2,94,13,5.28,few clouds
338,Nanortalik,GL,60.1432,-45.2371,19.11,69,2,5.57,clear sky
339,Sierpc,PL,52.8568,19.6691,38.98,73,100,14.32,overcast clouds
340,Botshabelo,ZA,-29.2702,26.7052,56.26,72,100,16.62,overcast clouds
341,Taltal,CL,-25.4,-70.4833,69.19,68,88,10.09,overcast clouds
342,Comodoro Rivadavia,AR,-45.8667,-67.5,64.26,77,40,10.36,thunderstorm with light rain
343,Asau,RO,46.4333,26.4,35.76,94,99,3.31,overcast clouds
344,Geraldton,AU,-28.7667,114.6,55.81,82,40,4.61,scattered clouds
345,Ahuimanu,US,21.4447,-157.8378,78.78,76,20,7.14,few clouds
346,Leh,IN,34.1667,77.5833,-2.85,57,0,4.61,clear sky
347,Nongan,CN,44.382,125.1685,3.15,83,3,9.69,clear sky
348,Walvis Bay,NA,-22.9575,14.5053,64.09,87,0,3.13,clear sky
349,Kawhia,NZ,-38.0651,174.8183,63.37,63,32,16.87,scattered clouds
350,Nemuro,JP,43.3236,145.575,30.61,79,100,20.29,light snow
351,Vila Velha,BR,-20.3297,-40.2925,85.95,81,20,4.0,moderate rain
352,Xuddur,SO,4.1213,43.8894,80.53,50,99,10.63,overcast clouds
353,Saint Helens,GB,53.45,-2.7333,45.03,91,75,6.91,broken clouds
354,Olafsvik,IS,64.8945,-23.7142,41.63,79,100,7.0,moderate rain
355,Havoysund,NO,70.9963,24.6622,36.48,87,100,21.18,light snow
356,Alugan,PH,12.2188,125.4808,80.26,86,100,10.85,overcast clouds
357,San Carlos,VE,9.6612,-68.5827,88.29,49,100,3.89,overcast clouds
358,Saint-Augustin,CA,51.226,-58.6502,32.27,99,100,10.85,snow
359,Pimenta Bueno,BR,-11.6725,-61.1936,77.76,89,100,2.89,light rain
360,Conway,US,35.0887,-92.4421,55.24,97,90,0.0,mist
361,Miraflores,MX,19.2167,-98.8083,70.56,35,57,4.18,broken clouds
362,Namtsy,RU,62.7161,129.6658,-43.49,97,100,2.86,overcast clouds
